# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu_atom/cycles/P'
# Event count (approx.): 17014286261
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                            IPC   [IPC Coverage]
# ........  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.40%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB5_23ProductivePackageViewV112pool_payload                                                                                                                                                                                                                                                                                                                                     -      -            
     0.37%  [.] _RNvNtNtCsaItXR7QDBHT_4libm4math3log3log                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.37%  [.] malloc_consolidate                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.30%  [.] unlink_chunk.constprop.0                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.29%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records27DirectionalResidualRecordV1EBe_                                                                                                                                                                                                                                                                                           -      -            
     0.25%  [.] _RNvXNtNtCscI6d9CVNmLh_4core4iter8adaptersINtB2_12GenericShuntINtNtB2_3map3MapINtNtNtB6_3ops5range5RangejENCNvMs_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v123anchor_recovery_packageNtB1M_27AnchorRecoveryPackageViewV114recovery_paths0EINtNtB6_6result6ResultNtNtB6_7convert10InfallibleNtNtCs40k4W9msRzi_5alloc6string6StringEENtNtNtB4_6traits8iterator8Iterator4nextB1U_                                                             -      -            
     0.22%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV13new                                                                                                                                                                                                                                                                                                                                               -      -            
     0.21%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.21%  [.] _RNvMsi_NtNtNtCs40k4W9msRzi_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                  -      -            
     0.21%  [.] _RINvNtNtNtNtCscI6d9CVNmLh_4core5slice4sort6stable9quicksort9quicksortNtNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtime26RecoveredAnchorCandidateV1NCINvMNtCs40k4W9msRzi_5alloc5sliceSB15_7sort_byNvMs0_B17_B15_14evidence_orderE0EB1f_                                                                                                                                                                                      -      -            
     0.20%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV117paradigm_slot_ids                                                                                                                                                                                                                                                                                                                 -      -            
     0.19%  [.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.18%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay8keyboard10text_input7ru_emit20char_to_ru_key_event                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.15%  [.] _RNvMs1_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_24GeometryTraversalStateV119emit_normalized_str                                                                                                                                                                                                                                                                                                                           -      -            
     0.15%  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtime20retain_surface_basin                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.13%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records22ParadigmCenterRecordV1EBe_                                                                                                                                                                                                                                                                                                -      -            
     0.13%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay8keyboard10text_input4runs23text_to_key_events_into                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.13%  [.] _RNvMs4_NtCs40k4W9msRzi_5alloc7raw_vecNtB5_11RawVecInner11finish_growCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.10%  [.] _RNvXNtCsfKiFC1ztrmh_9hashbrown3mapINtB2_7HashMapymINtNtCscI6d9CVNmLh_4core4hash18BuildHasherDefaultNtNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometry13AtomKeyHasherEENtNtBR_5clone5Clone5cloneB1J_                                                                                                                                                                                                                                   -      -            
     0.10%  [.] _RNvMs6_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_26BindingCandidateFrontierV16retain                                                                                                                                                                                                                                                                                                                              -      -            


# Samples: 21K of event 'cpu_core/cycles/P'
# Event count (approx.): 76876329200
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                            IPC   [IPC Coverage]
# ........  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    25.47%  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16events11crc32_parts                                                                                                                                                                                                                                                                                                                                                                        -      -            
    11.32%  [.] _RNvNtNtCs8BrB9QZrL48_4sha26sha2563x8613digest_blocks                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
    10.18%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV116add_simhash_atom                                                                                                                                                                                                                                                                                                                                 -      -            
     3.78%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV114add_typed_atom                                                                                                                                                                                                                                                                                                                                   -      -            
     2.98%  [.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
